var	start	end	width	descr
ID_HOGAR	1	6	6	Número de hogar
NORDF	7	10	4	Número final de la persona dentro del hogar
MNAC	11	12	2	Mes de nacimiento
ANAC	13	16	4	Año de nacimiento
EDAD	17	19	3	Edad
SEXO	20	20	1	Sexo
NACI	21	23	3	Código país de nacionalidad
CPRON	24	25	2	Código provincia de nacimiento
CMUNN	26	28	3	Código o tamaño municipio (o país) de nacimiento
ECIVIL	29	29	1	Estado civil
PARENPP	30	31	2	Relación de parentesco con la persona de referencia normalizada
ESREAL	32	33	2	Nivel de estudios
TESTUD	34	35	2	Tipo de estudios realizados
AÑOE	36	39	4	Año de llegada a España
AÑOC	40	43	4	Año de llegada a la Comunidad Autónoma
AÑOM	44	47	4	Año de llegada al municipio
CLPRO	48	49	2	Código provincia anterior de residencia
CLMUNP	50	52	3	Código o tamaño municipio (o país) anterior de residencia
RES10	53	53	1	Residencia hace 10 años
CMUN10	54	56	3	Código o tamaño municipio (o país) hace 10 años
CPROV10	57	58	2	Código provincia hace 10 años
CONLEN	59	59	1	Conocimiento de la lengua propia
SITU1	60	61	2	Situación la semana pasada (respuesta primera)
SITU2	62	63	2	Situación la semana pasada (segunda)
SITU3	64	65	2	Situación la semana pasada (tercera)
SITU	66	67	2	Situación preferente
LUGTE	68	68	1	Lugar de trabajo o estudio
CLMUNI	69	71	3	Código o tamaño municipio (o país) de trabajo o estudio
CLPROV	72	73	2	Código provincia de trabajo o estudio
NVIAJE	74	74	1	Nº de viajes diarios
MDESP1	75	76	2	Medio de desplazamiento
MDESP2	77	78	2	Medio de desplazamiento
TDESP	79	79	1	Tiempo de desplazamiento
ESCUR1	80	81	2	Estudios en curso
ESCUR2	82	83	2	Estudios en curso
ESCUR3	84	85	2	Estudios en curso
COCUP	86	88	3	Código de ocupación
SITP	89	89	1	Situación profesional
COACTI	90	92	3	Código de actividad
CSE	93	94	2	Condición socioeconómica
TTRAB	95	96	2	Tiempo usual de trabajo
USO1F	97	97	1	Vivienda, alojamiento o colectivo
CVIVIF	98	98	1	Clase de vivienda
CCOLF	99	100	2	Clase de colectivo
AÑORES	101	104	4	Año llegada a la vivienda
TENEN	105	105	1	Régimen de tenencia
RUIDEX	106	106	1	Ruidos exteriores
CONTA	107	107	1	Contaminación
LIMP	108	108	1	Poca limpieza en las calles
COM	109	109	1	Malas comunicaciones
VERDE	110	110	1	Pocas zonas verdes
DELIN	111	111	1	Delincuencia en la zona
SERVI	112	112	1	Falta de servicios
REF	113	113	1	Refrigeración
CALE	114	114	1	Calefacción
COMBUS	115	115	1	Combustible para calefacción
ALTURA	116	117	2	Altura (en nº de plantas) en la que está la vivienda
NHAB	118	119	2	Nº de habitaciones
SUT	120	122	3	Superficie útil
SVIV	123	123	1	Disponibilidad segunda vivienda
LOCSV	124	124	1	Localización segunda vivienda
CMUNSV	125	127	3	Código o tamaño municipio (o país) 2ª vivienda
CPROSV	128	129	2	Código provincia 2ª vivienda
DIAÑO	130	132	3	Nº de dias al año de uso de la 2ª vivienda
